Number,Question,A,B,C,D,Answer,Subject,correct,prediction
136,4'ün karesi ile 3'ün küpünün toplamı kaçtır?,43,64,81,73,A,numeric_reasoning,False,D
138,"2^32 litrelik bir havuz her gün 2^2 litre su ile dolduruluyor. Eklenen su miktarı her gün 2 katına çıkarılıyor. Su, havuzun yarısına kaçıncı günde gelmiştir?",8,12,29,16,C,numeric_reasoning,True,C
139,"Bir araba yarım saatte 60 km hızla 3 saat boyunca yol alırsa, toplam kaç km yol almış olur?",180 km,360 km,150 km,220 km,B,numeric_reasoning,True,B
140,"Bir işçi 5 saatte 25 birim iş yapıyorsa, aynı hızla çalışırsa 8 saatte kaç birim iş yapar?",50 birim,35 birim,45 birim,40 birim,D,numeric_reasoning,True,D
153,"Bir dikdörtgenin alanı 72 cm², kısa kenarı 6 cm ise, uzun kenarı kaç cm'dir?",9 cm,10 cm,12 cm,8 cm,C,numeric_reasoning,True,C
154,"Bir tarlada 500 kg buğday üretiliyor. Bu tarlada %20 daha fazla buğday üretilseydi, kaç kg buğday üretilirdi?",500 kg,550 kg,600 kg,700 kg,C,numeric_reasoning,True,C
169,Bir sayı 12'nin 3 katından 5 eksiktir. Bu sayı kaçtır?,31,35,36,29,A,mathematics,False,D
171,"Bir küpün içinden çapı küpün kenar uzunluğuna eşit olan bir küre oyulursa, kalan hacim küpün hacminin kaçta kaçı olur?",1/6, 7/8,2/3,5/6,B,hard_geometry,True,B
172,"Bir dik üçgende hipotenüs 10 cm ve bir dik kenar 6 cm ise, diğer dik kenar kaç cm'dir?",4 cm,5 cm,8 cm,√16 cm,C,hard_geometry,True,C
174,"Bir koninin yüksekliği ve taban çapı eşit olup her biri 12 cm ise, koninin hacmi kaç cm³'tür? (π = 3 alınız)",432 cm³,864 cm³,1728 cm³,108 cm³,A,hard_geometry,True,A
175,"Bir elipsin büyük eksen uzunluğu 10 cm ve küçük eksen uzunluğu 8 cm ise, elipsin alanı kaç cm²'dir? (π = 3.14 alınız)",40 cm²,80 cm²,20 cm²,62.8 cm²,D,hard_geometry,True,D
176,"Bir düzgün dodekahedronun (12 yüzlü çokgen) bir yüzünün alanı 25 cm² ise, toplam yüzey alanı kaç cm²'dir?",250 cm²,300 cm²,400 cm²,500 cm²,B,hard_geometry,False,D
178,"Bir dört yüzlü piramidin (tetrahedron) hacmi 24 cm³ ve taban alanı 8 cm² ise, yüksekliği kaç cm'dir?",9 cm,6 cm,3 cm,4 cm,A,hard_geometry,False,B
180,"Bir prizmanın taban alanı 20 cm², yüksekliği 15 cm ve yanal yüzey alanı 300 cm² ise, prizmanın toplam yüzey alanı kaç cm²'dir?",400 cm²,600 cm²,340 cm²,500 cm²,C,hard_geometry,False,D
183,Bir doğrusal denklemler sisteminde 3x + 2y = 5 ve 4x - y = 6 denklemlerinin çözüm kümesi nedir?,"x=1/2,y=3/4","x=3/5,y=−1/2","x=2/3,y=1/4","x=17/11,y=2/11",D,hard_mathematics,True,D
189,d/dx(x^2.ln(x)) nedir?,(2x.ln⁡(x)) + x^2,(2x.ln(x)) + x,(x.ln(x)) + 2x,(x^2).ln(x),B,hard_mathematics,True,B
191,"Bir kürenin yüzey alanı, aynı yarıçapa sahip bir silindirin yanal yüzey alanına eşittir. Bu kürenin hacmi 36π cm³ ise, silindirin yüksekliği kaç cm'dir?",6 cm,4 cm,3 cm,2 cm,A,hard_mathematics,False,B
192,"Bir kürenin yüzey alanı 36π cm² ise, kürenin hacmi nedir?",36π cm³,48π cm³,72π cm³,64π cm³,A,hard_mathematics,False,D
195,Bir kürenin hacmi 500π cm³ ise yüzey alanı yaklaşık kaç cm²'dir?,542 cm²,138π cm²,176π cm²,208π cm²,D,hard_mathematics,True,D
198,∫x(e^x)dx integrali nedir?,(e^x).(x-1) + C,e^x - (x.(e^x)) + C,(x.(e^x)) + e^x + C,e^x + (x.(e^x)) + C,A,hard_mathematics,False,D
203,Bir doğal logaritma fonksiyonunun türevi nedir?,1/x,1/(ln(x)),ln(x),ln(x^2),A,hard_mathematics,True,A
