Number,Question,A,B,C,D,Answer,Subject,correct,prediction
0,Aşağıdakilerden hangisi Türkiye'nin Ege Bölgesi'nde yer almaz?,İzmir,Aydın,Muğla,Antalya,D,turkish_geography,True,D
1,Aşağıdaki illerden hangisinin Karadeniz'e kıyısı yoktur?,Sinop,Ordu,Samsun,Çorum,D,turkish_geography,True,D
2,Türkiye'de en çok yağış alan bölge hangisidir? Bu durumun sebebi ne olabilir?,Karadeniz Bölgesi; dağların denize paralel uzanması,Akdeniz Bölgesi; subtropikal iklim,Marmara Bölgesi; deniz etkisi,Ege Bölgesi; kıyı şeridinin uzunluğu,A,turkish_geography,True,A
3,"Anadolu'nun ""köprü"" olarak nitelendirilmesinin en önemli sebebi nedir?",Boğazların varlığı,Asya ve Avrupa'yı birleştirmesi,Dağ silsilelerinin uzanışı, Dört mevsimin yaşanıyor olması,B,turkish_geography,True,B
4,Hangisi Türkiye'nin iklim çeşitliliğine etki eden faktörlerden biri değildir?,Yeryüzü şekilleri,Denizlere olan uzaklık,Ortalama yükseltinin fazla olması,Nüfus yoğunluğu,D,turkish_geography,True,D
5,Türkiye'de en az nüfusa sahip bölge hangisidir? Bu durumun olası bir sebebi ne olabilir?,Doğu Anadolu Bölgesi,Güneydoğu Anadolu Bölgesi,Ege Bölgesi,Karadeniz Bölgesi,A,turkish_geography,False,D
6,"Türkiye'de ""Kırsal kesimden kente göç"" olgusu hangi coğrafi faktörle en az ilişkilidir?",Tarımda makineleşme,Eğitim olanaklarının artması,Sanayi bölgelerinin gelişmesi,Deniz seviyesinden yükseklik,D,turkish_geography,True,D
7,"Hangi cümlede ""ki"" bağlacı yerine ek olan ""-ki"" kullanılmalıdır?",Biliyorum ki başaracaksın.,Senin ki benim kinden daha güzel.,O kadar yorgundum ki hemen uyudum.,Öyle bir film ki anlatamam.,B,turkish_grammar,False,C
8,Hangi cümlede isim tamlaması yoktur?,Evin bahçesi çok güzel.,Ahmet'in arabası kırmızı.,Çocuk top oynuyor.,Masanın üstünde kitap var.,C,turkish_grammar,True,C
9,Aşağıdaki cümlelerin hangisinde birleşik zamanın hikayesi kullanılmıştır?,Yarın okula gideceğim.,Dün akşam film izliyordum.,Kitabı bitirmiş.,Sınavı geçebilirdi.,D,turkish_grammar,False,B
10,Aşağıdaki cümlelerin hangisinde özne-yüklem uyumsuzluğu vardır?,Çocuklar bahçede oynuyor.,Herkes sınavda başarılı oldu.,Öğrenciler ve öğretmenler pikniğe gitti.,Kalabalık yavaşça dağıldılar.,D,turkish_grammar,False,C
11,"Aşağıdaki cümlelerin hangisinde ""de/da"" bağlacı yanlış yazılmıştır?",Ben de geleceğim.,Evde kimse yok.,Kitabı da defteri de al.,Sokakta'da çocuklar oynuyor.,D,turkish_grammar,True,D
12,"Hangi cümlede ""için"" edatı cümleye amaç anlamı katmamıştır?",Sınıfı geçmek için çok çalıştı.,Senin için aldım bu hediyeyi.,Piknik için hazırlık yapıyoruz.,Ağaç için çukur kazdık.,B,turkish_grammar,False,D
13,Aşağıdaki cümlelerin hangisinde yazım yanlışı yapılmıştır?,Hiçbir şey göründüğü gibi değil.,Herşey yolunda gidecek.,Birkaç gün sonra döneceğim.,Bugün hava güneşli.,B,turkish_grammar,True,B
14,Hangi cümlede işteş çatılı bir fiil kullanılmıştır?,Çocuklar bahçede oynuyor.,Öğrenciler sınıfta tartışıyor.,Kediler süt içiyor.,Kuşlar gökyüzünde uçuyor.,B,turkish_grammar,True,B
15,Aşağıdaki cümlelerin hangisinde zarf tümleci yoktur?,Hızlıca koştu.,Kitabı dikkatle okudu.,Bahçede çiçekler açmış.,Yarın okula gideceğim.,C,turkish_grammar,True,C
16,Hangi cümlede dolaylı anlatım kullanılmıştır?,"Ayşe ""Yarın geleceğim"" dedi.",Ali geldiğini söyledi.,Hava çok güzelmiş.,Lütfen sessiz olun.,B,turkish_grammar,True,B
