1,"Bir tren saatte 90 km hızla giderek 3 saatte kaç km yol alır?","270 km","300 km","250 km","200 km",A,"Numeric Reasoning"
2,"Bir ABCD dikdörtgeninin AB kenarı 10 cm, BC 5 cm'dir. Dikdörtgenin çevresi kaç cm'dir?","30 cm","25 cm","20 cm","35 cm",A,"Numeric Reasoning"
4,"Bir otomobil 60 km/h hızla hareket ettiğinde 3 saatte kaç km yol alır?","180 km","200 km","150 km","160 km",A,"Numeric Reasoning"
7,"4'ün karesi ile 3'ün küpünün toplamı kaçtır?","91","64","81","73",A,"Numeric Reasoning"
10,"Bir havuz 5 saatte dolmaktadır. Aynı havuz 2 saatte kaçta kaçı dolar?","2/5","1/3","1/2","2/3",A,"Numeric Reasoning"
11,"2^32 litrelik bir havuz her gün 2^2 litre su ile dolduruluyor. Su, havuzun yarısına kaçıncı günde gelmiştir?","8","12,"29","16",C,"Numeric Reasoning"
1,"Bir araba yarım saatte 60 km hızla 3 saat boyunca yol alırsa, toplam kaç km yol almış olur?","180 km","360 km","150 km","220 km",A,"Numeric Reasoning"
2,"Bir işçi 5 saatte 25 birim iş yapıyorsa, aynı hızla çalışırsa 8 saatte kaç birim iş yapar?","40 birim","35 birim","45 birim","50 birim",D,"Numeric Reasoning"
4,"Bir mağaza %15 indirimle 170 TL'ye satılan bir ürünü indirimsiz kaç TL'ye satıyordu?","200 TL","180 TL","190 TL","210 TL",A,"Numeric Reasoning"
5,"Bir sayının %25'i 80 ise, bu sayı kaçtır?","320","300","350","400",A,"Numeric Reasoning"
7,"Bir kasada 400 elma vardır. Her gün 80 elma satılırsa, kaç gün sonra kasada elma kalmaz?","5 gün","4 gün","6 gün","8 gün",A,"Numeric Reasoning"
8,"Bir işçi 6 saatte 90 birim iş yapıyorsa, aynı hızla çalışarak 10 saatte kaç birim iş yapar?","150 birim","140 birim","160 birim","130 birim",A,"Numeric Reasoning"
9,"Bir dikdörtgenin alanı 48 cm², kısa kenarı 6 cm ise, uzun kenarı kaç cm'dir?","8 cm","7 cm","6 cm","9 cm",A,"Numeric Reasoning"
10,"Bir arabada 5 litre benzin vardır. Bu araba 1 litre benzin ile 12 km yol gidiyorsa, toplam kaç km yol gidebilir?","60 km","70 km","50 km","80 km",A,"Numeric Reasoning"
11,"Bir kişi günde 8 saat çalışarak bir işi 15 günde bitiriyorsa, aynı işi günde 6 saat çalışarak kaç günde bitirir?","20 gün","18 gün","22 gün","25 gün",A,"Numeric Reasoning"
12,"Bir su deposu dakikada 4 litre su ile doluyorsa, 2 saatte kaç litre su dolar?","480 litre","450 litre","500 litre","400 litre",A,"Numeric Reasoning"
13,"Bir bisikletçi 3 saatte 45 km yol gidiyorsa, 5 saatte kaç km yol gider?","75 km","70 km","80 km","65 km",A,"Numeric Reasoning"
14,"Bir markette 6 TL olan bir ürün %10 zamlanırsa, yeni fiyatı kaç TL olur?","6.6 TL","6.5 TL","7 TL","6.8 TL",A,"Numeric Reasoning"
15,"Bir saatin %20'si kaç dakikadır?","12 dakika","15 dakika","18 dakika","24 dakika",A,"Numeric Reasoning"
