,Question,A,B,C,D,Answer,Subject
0,Aşağıdakilerden hangisi Türkiye'nin Ege Bölgesi'nde yer almaz?,İzmir,Aydın,Muğla,Antalya,D,turkish_geography
1,Aşağıdaki illerden hangisinin Karadeniz'e kıyısı yoktur?,Sinop,Ordu,Samsun,Çorum,D,turkish_geography
2,Türkiye'de en çok yağış alan bölge hangisidir? Bu durumun sebebi ne olabilir?,Karadeniz Bölgesi; dağların denize paralel uzanması,Akdeniz Bölgesi; subtropikal iklim,Marmara Bölgesi; deniz etkisi,Ege Bölgesi; kıyı şeridinin uzunluğu,A,turkish_geography
3,"Anadolu'nun ""köprü"" olarak nitelendirilmesinin en önemli sebebi nedir?",Boğazların varlığı,Asya ve Avrupa'yı birleştirmesi,Dağ silsilelerinin uzanışı, Dört mevsimin yaşanıyor olması,B,turkish_geography
4,Hangisi Türkiye'nin iklim çeşitliliğine etki eden faktörlerden biri değildir?,Yeryüzü şekilleri,Denizlere olan uzaklık,Ortalama yükseltinin fazla olması,Nüfus yoğunluğu,D,turkish_geography
5,Türkiye'de en az nüfusa sahip bölge hangisidir? Bu durumun olası bir sebebi ne olabilir?,Doğu Anadolu Bölgesi,Güneydoğu Anadolu Bölgesi,Ege Bölgesi,Karadeniz Bölgesi,A,turkish_geography
6,"Türkiye'de ""Kırsal kesimden kente göç"" olgusu hangi coğrafi faktörle en az ilişkilidir?",Tarımda makineleşme,Eğitim olanaklarının artması,Sanayi bölgelerinin gelişmesi,Deniz seviyesinden yükseklik,D,turkish_geography
7,"Hangi cümlede ""ki"" bağlacı yerine ek olan ""-ki"" kullanılmalıdır?",Biliyorum ki başaracaksın.,Senin ki benim kinden daha güzel.,O kadar yorgundum ki hemen uyudum.,Öyle bir film ki anlatamam.,B,turkish_grammar
8,Hangi cümlede isim tamlaması yoktur?,Evin bahçesi çok güzel.,Ahmet'in arabası kırmızı.,Çocuk top oynuyor.,Masanın üstünde kitap var.,C,turkish_grammar
9,Aşağıdaki cümlelerin hangisinde birleşik zamanın hikayesi kullanılmıştır?,Yarın okula gideceğim.,Dün akşam film izliyordum.,Kitabı bitirmiş.,Sınavı geçebilirdi.,D,turkish_grammar
10,Aşağıdaki cümlelerin hangisinde özne-yüklem uyumsuzluğu vardır?,Çocuklar bahçede oynuyor.,Herkes sınavda başarılı oldu.,Öğrenciler ve öğretmenler pikniğe gitti.,Kalabalık yavaşça dağıldılar.,D,turkish_grammar
11,"Aşağıdaki cümlelerin hangisinde ""de/da"" bağlacı yanlış yazılmıştır?",Ben de geleceğim.,Evde kimse yok.,Kitabı da defteri de al.,Sokakta'da çocuklar oynuyor.,D,turkish_grammar
12,"Hangi cümlede ""için"" edatı cümleye amaç anlamı katmamıştır?",Sınıfı geçmek için çok çalıştı.,Senin için aldım bu hediyeyi.,Piknik için hazırlık yapıyoruz.,Ağaç için çukur kazdık.,B,turkish_grammar
13,Aşağıdaki cümlelerin hangisinde yazım yanlışı yapılmıştır?,Hiçbir şey göründüğü gibi değil.,Herşey yolunda gidecek.,Birkaç gün sonra döneceğim.,Bugün hava güneşli.,B,turkish_grammar
14,Hangi cümlede işteş çatılı bir fiil kullanılmıştır?,Çocuklar bahçede oynuyor.,Öğrenciler sınıfta tartışıyor.,Kediler süt içiyor.,Kuşlar gökyüzünde uçuyor.,B,turkish_grammar
15,Aşağıdaki cümlelerin hangisinde zarf tümleci yoktur?,Hızlıca koştu.,Kitabı dikkatle okudu.,Bahçede çiçekler açmış.,Yarın okula gideceğim.,C,turkish_grammar
16,Hangi cümlede dolaylı anlatım kullanılmıştır?,"Ayşe ""Yarın geleceğim"" dedi.",Ali geldiğini söyledi.,Hava çok güzelmiş.,Lütfen sessiz olun.,B,turkish_grammar
17,Aşağıdaki cümlelerin hangisinde hem isim hem de sıfat tamlaması bir arada kullanılmıştır?,Kırmızı araba hızla geçti.,Evin büyük bahçesi çok güzeldi.,Eski kitaplar rafta duruyordu.,Küçük çocuk top oynuyordu.,B,turkish_grammar
18,Aşağıdaki cümlelerin hangisinde hem isim hem de sıfat tamlaması bir arada kullanılmıştır?,Kırmızı araba hızla geçti.,Evin büyük bahçesi çok güzeldi.,Eski kitaplar rafta duruyordu.,Küçük çocuk top oynuyordu.,B,turkish_grammar
19,Aşağıdaki cümlelerin hangisinde şart kipi farklı bir işlevde kullanılmıştır?,Erken kalkarsan okula yetişirsin.,Keşke gelebilsem.,Çalışırsan başarırsın.,Yağmur yağarsa pikniğe gitmeyiz.,B,turkish_grammar
20,"Aşağıdaki cümlelerin hangisinde ""ki"" farklı bir görevde kullanılmıştır?",Öyle güzel bir manzara ki anlatamam.,Benimki seninkinden daha iyi.,Biliyorum ki başaracaksın.,Öyle bir film izledim ki unutamıyorum.,B,turkish_grammar
21,Aşağıdaki cümlelerin hangisinde zincirleme isim tamlaması kullanılmıştır?,Okulun bahçesi çok geniş.,Evin kapısının kilidi bozulmuş.,Ahmet'in arabası kırmızı.,Ağacın dalları rüzgarda sallanıyor.,B,turkish_grammar
22,Hangi cümlede küçültme eki alan kelime sıfat görevinde kullanılmamıştır?,Minicik elleriyle resim yapıyordu.,Küçücük bir ev almışlar.,Azıcık dinlensem iyi olacak.,Miniminnacık kuşlar cıvıldaşıyordu.,C,turkish_grammar
23,Aşağıdaki cümlelerin hangisinde ünlem cümlesi farklı bir amaçla kullanılmıştır?,Ne güzel bir manzara!,Eyvah! Anahtarları unuttum.,Yaşasın! Sınavı geçtim.,Off! Çok sıkıldım.,A,turkish_grammar
24,Hangi cümlede iyelik eki almış kelime yüklem görevinde kullanılmıştır?,Bu kalem benim.,Onun arabası kırmızı.,Bizim ev şehir merkezinde.,Senin fikirlerin çok değerli.,A,turkish_grammar
25,Aşağıdaki cümlelerin hangisinde zamir kullanılmıştır?,Kitapları dün aldım.,Onu hiç tanımıyorum.,Arabayı garaja park etti.,Çiçekler bahçede açtı.,B,turkish_grammar
26,Aşağıdaki cümlelerin hangisinde bir deyim kullanılmıştır?,Sabah kahvaltı yaptık.,Çok çalışkan bir öğrencidir.,İşleri yoluna koydu.,Öğretmen ödevi kontrol etti.,C,turkish_semantics
27,Kırmak kelimesi hangi cümlede deyim olarak kullanılmıştır?,Bardağı kırdı ve hemen temizlemeye başladı.,Kalbini kırdı ve bu yüzden onunla konuşmuyor.,Kolunu kırdı ve hastaneye gitmek zorunda kaldı.,Yumurtayı kırdı ve tavaya döktü.,B,turkish_semantics
