,Question,A,B,C,D,Answer,Subject
1,Aşağıdakilerden hangisi Türkiye'nin Ege Bölgesi'nde yer almaz?,İzmir,Aydın,Muğla,Antalya,D,Turkish Geography
2,Aşağıdaki illerden hangisinin Karadeniz'e kıyısı yoktur?,Sinop,Ordu,Samsun,Çorum,D,Turkish Geography
3,Aşağıdaki şehir çiftlerinden hangisi farklı coğrafi bölgelerde yer alır?,Ankara-Ka,İzmir-Aydın,Trabzon-Rize,Diyarbakır-Şanlıurfa,A,Turkish Geography
4,Türkiye'de en çok yağış alan bölge hangisidir? Bu durumun sebebi ne olabilir?,Karadeniz Bölgesi; dağların denize paralel uzanması,Akdeniz Bölgesi; subtropikal iklim,Marmara Bölgesi; deniz etkisi,Ege Bölgesi; kıyı şeridinin uzunluğu,A,Turkish Geography
5,Anadolu'nun "köprü" olarak nitelendirilmesinin en önemli sebebi nedir?,Boğazların varlığı,Asya ve Avrupa'yı birleştirmesi,Dağ silsilelerinin uzanışı, Dört mevsimin yaşanıyor olması,B,Turkish Geography
6,Hangisi Türkiye'nin iklim çeşitliliğine etki eden faktörlerden biri değildir?,Yeryüzü şekilleri,Denizlere olan uzaklık,Ortalama yükseltinin fazla olması,Nüfus yoğunluğu,D,Turkish Geography
7,Türkiye'de en az nüfusa sahip bölge hangisidir? Bu durumun olası bir sebebi ne olabilir?,Doğu Anadolu Bölgesi,Güneydoğu Anadolu Bölgesi,Ege Bölgesi,Karadeniz Bölgesi,A,Turkish Geography
8,Türkiye'de "Kırsal kesimden kente göç" olgusu hangi coğrafi faktörle en az ilişkilidir?,Tarımda makineleşme,Eğitim olanaklarının artması,Sanayi bölgelerinin gelişmesi,Deniz seviyesinden yükseklik,D,Turkish Geography
9,Hangi cümlede "ki" bağlacı yerine ek olan "-ki" kullanılmalıdır?,Biliyorum ki başaracaksın.,Senin ki benim kinden daha güzel.,O kadar yorgundum ki hemen uyudum.,Öyle bir film ki anlatamam.,B,Turkish Grammar
10,Hangi cümlede isim tamlaması yoktur?,Evin bahçesi çok güzel.,Ahmet'in arabası kırmızı.,Çocuk top oynuyor.,Masanın üstünde kitap var.,C,Turkish Grammar
11,Aşağıdaki cümlelerin hangisinde birleşik zamanın hikayesi kullanılmıştır?,Yarın okula gideceğim.,Dün akşam film izliyordum.,Kitabı bitirmiş.,Sınavı geçebilirdi.,D,Turkish Grammar
12,Aşağıdaki cümlelerin hangisinde özne-yüklem uyumsuzluğu vardır?,Çocuklar bahçede oynuyor.,Herkes sınavda başarılı oldu.,Öğrenciler ve öğretmenler pikniğe gitti.,Kalabalık yavaşça dağıldılar.,D,Turkish Grammar
13,Aşağıdaki cümlelerin hangisinde "de/da" bağlacı yanlış yazılmıştır?,Ben de geleceğim.,Evde kimse yok.,Kitabı da defteri de al.,Sokakta'da çocuklar oynuyor.,D,Turkish Grammar
14,Hangi cümlede "için" edatı cümleye amaç anlamı katmamıştır?,Sınıfı geçmek için çok çalıştı.,Senin için aldım bu hediyeyi.,Piknik için hazırlık yapıyoruz.,Ağaç için çukur kazdık.,B,Turkish Grammar
15,Aşağıdaki cümlelerin hangisinde yazım yanlışı yapılmıştır?,Hiçbir şey göründüğü gibi değil.,Herşey yolunda gidecek.,Birkaç gün sonra döneceğim.,Bugün hava güneşli.,B,Turkish Grammar
